[ 2026-05-26 08:36:17,868 ] Using spritesheet cache size of 910
[ 2026-05-26 08:36:18,024 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-05-26 08:36:18,099 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-05-26 08:36:19,997 ] Asset loading complete
[ 2026-05-26 08:36:20,012 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-05-26 08:36:20,993 ] Client is started for first the time.
[ 2026-05-26 08:36:21,326 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x1c8b08d9870), parent's thread is QThread(0x1c882b84ff0), current thread is QSGRenderThread(0x1c88a06d590)
[ 2026-05-26 08:38:21,069 ] BattlEye: "Initialized (v1.249)"
[ 2026-05-26 08:38:21,070 ] BattlEye: "Config entry: GameID tibia"
[ 2026-05-26 08:38:21,070 ] BattlEye: "Config entry: MasterPort 7171"
[ 2026-05-26 08:38:21,227 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171"  (unprotected:  "tcp://prod-lb-sa.tibia.com:7171" )  requested (Charakter "Kalexus" )
[ 2026-05-26 08:38:21,227 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"
[ 2026-05-26 08:38:21,254 ] Connected to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"
[ 2026-05-26 08:38:21,690 ] Request connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra"
[ 2026-05-26 08:38:21,898 ] Backup connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra" established
[ 2026-05-26 08:38:25,073 ] BattlEye: "Server computed GUID: b735fbc87a301dbc2eab3d22914e004d"
[ 2026-05-26 08:53:17,098 ] Connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"  was disconnected ( "The remote host closed the connection" )
[ 2026-05-26 08:53:17,098 ] Connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra"  was disconnected ( "The remote host closed the connection" )
[ 2026-05-26 08:53:17,164 ] Disconnected from gameserver
[ 2026-05-30 15:06:28,988 ] Using spritesheet cache size of 910
[ 2026-05-30 15:06:29,100 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-05-30 15:06:29,170 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-05-30 15:06:30,758 ] Asset loading complete
[ 2026-05-30 15:06:30,779 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-05-30 15:06:31,981 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x181c91997a0), parent's thread is QThread(0x181a1579320), current thread is QSGRenderThread(0x181a9718890)
[ 2026-05-30 15:06:44,503 ] Retrying to obtain clipboard.
[ 2026-05-30 15:07:30,401 ] BattlEye: "Initialized (v1.249)"
[ 2026-05-30 15:07:30,401 ] BattlEye: "Config entry: GameID tibia"
[ 2026-05-30 15:07:30,401 ] BattlEye: "Config entry: MasterPort 7171"
[ 2026-05-30 15:07:30,528 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171"  (unprotected:  "tcp://prod-lb-sa.tibia.com:7171" )  requested (Charakter "Anninha Paladina" )
[ 2026-05-30 15:07:30,528 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"
[ 2026-05-30 15:07:30,551 ] Connected to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"
[ 2026-05-30 15:07:31,008 ] Request connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra"
[ 2026-05-30 15:07:31,077 ] Backup connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra" established
[ 2026-05-30 15:07:33,399 ] BattlEye: "Server computed GUID: 5fd02760bd910d2e2c911d7ea42bbcb3"
[ 2026-05-30 15:21:54,952 ] Retrying to obtain clipboard.
[ 2026-05-30 15:28:17,018 ] Connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"  was disconnected ( "The remote host closed the connection" )
[ 2026-05-30 15:28:17,018 ] Connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra"  was disconnected ( "The remote host closed the connection" )
[ 2026-05-30 15:28:17,085 ] Disconnected from gameserver
[ 2026-05-30 15:29:11,634 ] BattlEye: "Initialized (v1.249)"
[ 2026-05-30 15:29:11,634 ] BattlEye: "Config entry: GameID tibia"
[ 2026-05-30 15:29:11,634 ] BattlEye: "Config entry: MasterPort 7171"
[ 2026-05-30 15:29:11,804 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171"  (unprotected:  "tcp://prod-lb-sa.tibia.com:7171" )  requested (Charakter "Anninha Paladina" )
[ 2026-05-30 15:29:11,804 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"
[ 2026-05-30 15:29:11,830 ] Connected to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"
[ 2026-05-30 15:29:12,286 ] Request connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra"
[ 2026-05-30 15:29:12,512 ] Backup connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra" established
[ 2026-05-30 15:29:15,635 ] BattlEye: "Server computed GUID: 5fd02760bd910d2e2c911d7ea42bbcb3"
[ 2026-06-03 20:11:45,743 ] Using spritesheet cache size of 910
[ 2026-06-03 20:11:45,913 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-03 20:11:45,981 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-03 20:11:55,546 ] Asset loading complete
[ 2026-06-03 20:11:55,610 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-03 20:11:57,191 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x204de82a4e0), parent's thread is QThread(0x204d5ae3d70), current thread is QSGRenderThread(0x204dced73b0)
[ 2026-06-03 20:13:38,382 ] BattlEye: "Initialized (v1.249)"
[ 2026-06-03 20:13:38,382 ] BattlEye: "Config entry: GameID tibia"
[ 2026-06-03 20:13:38,382 ] BattlEye: "Config entry: MasterPort 7171"
[ 2026-06-03 20:13:38,518 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171"  (unprotected:  "tcp://prod-lb-sa.tibia.com:7171" )  requested (Charakter "Kalexus" )
[ 2026-06-03 20:13:38,518 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"
[ 2026-06-03 20:13:38,543 ] Connected to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"
[ 2026-06-03 20:13:38,983 ] Request connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra"
[ 2026-06-03 20:13:39,045 ] Backup connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra" established
[ 2026-06-03 20:13:41,385 ] BattlEye: "Server computed GUID: b735fbc87a301dbc2eab3d22914e004d"
[ 2026-06-03 20:15:40,894 ] Retrying to obtain clipboard.
[ 2026-06-09 16:56:22,104 ] Using spritesheet cache size of 910
[ 2026-06-09 16:56:22,238 ] Sound engine initialized with default sound device "Headphones (High Definition Audio Device)"
[ 2026-06-09 16:56:22,311 ] Switch used audio device to "Headphones (High Definition Audio Device)"
[ 2026-06-09 16:56:30,925 ] Asset loading complete
[ 2026-06-09 16:56:31,016 ] StartDownload:  QUrl("https://static.tibia.com/hints.json")
[ 2026-06-09 16:56:32,447 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x20f29398310), parent's thread is QThread(0x20f21eeafc0), current thread is QSGRenderThread(0x20f2a1d73f0)
[ 2026-06-09 16:57:23,203 ] BattlEye: "Initialized (v1.249)"
[ 2026-06-09 16:57:23,204 ] BattlEye: "Config entry: GameID tibia"
[ 2026-06-09 16:57:23,204 ] BattlEye: "Config entry: MasterPort 7171"
[ 2026-06-09 16:57:23,322 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171"  (unprotected:  "tcp://prod-lb-sa.tibia.com:7171" )  requested (Charakter "Kalexus" )
[ 2026-06-09 16:57:23,322 ] Request connection to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"
[ 2026-06-09 16:57:23,343 ] Connected to gameserver  "tcp://prod-cf-sa.tibia.com:7171" "Issobra"
[ 2026-06-09 16:57:23,839 ] Request connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra"
[ 2026-06-09 16:57:24,430 ] Backup connection to gameserver  "tcp://prod-lb-sa.tibia.com:7171" "Issobra" established
[ 2026-06-09 16:57:27,196 ] BattlEye: "Server computed GUID: b735fbc87a301dbc2eab3d22914e004d"
[ 2026-06-09 16:59:18,246 ] Retrying to obtain clipboard.
[ 2026-06-09 16:59:33,421 ] StartDownload:  QUrl("https://static.tibia.com/images/store/13/Category_PremiumTime.png")
[ 2026-06-09 16:59:33,424 ] StartDownload:  QUrl("https://static.tibia.com/images/store/13/Category_Consumables.png")
